"afdc_id","afdc_station_name","afdc_state","afdc_ev_network","matched","match_status","ocm_poi_id","distance_miles","ocm_operator","comment_count","fault_comment_count","most_recent_comment_date","ocm_status"
"452317","Family Fare - Gaylord","MI","FCN","True","matched","480838","0.0026","Francis Energy","0","0",,"Operational"
"452322","SWTCH Energy","TX","SWTCH","True","matched","218791","0.2137","Universal EV Charging","0","0",,"Operational"
"453378","Sheetz #132 - Taneytown","MD","FCN","True","matched","225295","0.2425","ChargePoint","0","0",,"Operational"
"453539","LANDHOPE LV3 DC CHARGER 2","PA","ChargePoint Network","True","matched","225550","0.0602","ChargePoint","0","0",,"Operational"
"453540","LANDHOPE LV3 DC CHARGER 1","PA","ChargePoint Network","True","matched","225550","0.0613","ChargePoint","0","0",,"Operational"
"454135","Casey's #4433 - Glasgow","KY","FCN","False","no_poi_within_1mi",,,,,,,
"454176","Comfort Suites - Edinboro","PA","FCN","False","no_poi_within_1mi",,,,,,,
"455778","Dublin","GA","RACETRAC","True","matched","79047","0.1852","Tesla (Tesla-only charging)","0","0",,"Operational"
"456084","Wawa - Tesla Supercharger","PA","Tesla","False","no_poi_within_1mi",,,,,,,
"457040","Kwik Trip #922","WI","KWIK_CHARGE","False","no_poi_within_1mi",,,,,,,
"457041","Kwik Trip #1709","WI","KWIK_CHARGE","False","no_poi_within_1mi",,,,,,,
"457042","Kwik Trip #202","WI","KWIK_CHARGE","True","matched","143830","0.0394",,"0","0",,"Operational"
"457043","Kwik Trip #574","WI","KWIK_CHARGE","True","matched","232265","0.3096",,"0","0",,"Operational"
"457044","Kwik Trip #1013","WI","KWIK_CHARGE","False","no_poi_within_1mi",,,,,,,
"457232","Saddle Up - Bear Lake","MI","FCN","True","matched","485322","0.0074","Francis Energy","0","0",,"Operational"
"457516","Red River Gorge Inn","KY","FCN","False","no_poi_within_1mi",,,,,,,
"457517","Down Home Diner","KY","FCN","False","no_poi_within_1mi",,,,,,,
"457530","Pilot Travel Center 358 - eXtend","KY","eVgo Network","False","nearest_poi_over_0.5mi","84434","0.8831","Tesla (Tesla-only charging)",,,,
"457672","Bowmansville Service Plaza","PA","APPLEGREEN","True","matched","246064","0.0256","Tesla (including non-tesla)","0","0",,"Operational"
"457720","Sheetz #559 - Columbia","PA","FCN","False","no_poi_within_1mi",,,,,,,
"458179","LOVE'S 716 - KY #716 DC1","KY","ChargePoint Network","False","no_poi_within_1mi",,,,,,,
"458184","LOVE'S 716 - KY #716 DC2","KY","ChargePoint Network","False","no_poi_within_1mi",,,,,,,
"458330","Shaw's","ME","JULE","True","matched","280258","0.3356","Tesla (Tesla-only charging)","0","0",,"Operational"
"458331","Airport Mall","ME","JULE","True","matched","232078","0.2767","ChargePoint","0","0",,"Operational"
"458423","LOVE'S 653 - CO #653 DC1","CO","ChargePoint Network","False","nearest_poi_over_0.5mi","68858","0.9887","ChargePoint",,,,
"458507","Electric Era Charging Station","PA","ELECTRIC_ERA","True","matched","312152","0.0351","Electric Era (US)","0","0",,"Planned For Future Date"
"459225","Kwik Trip #414","MN","KWIK_CHARGE","True","matched","492445","0.0485","Kwik Charge (Kwik Trip)","0","0",,"Operational"
"459505","Casey's #4419 - Bowling Green","KY","FCN","False","no_poi_within_1mi",,,,,,,
"459842","Sheetz Muncy, powered by Electrify America","PA","Electrify America","True","matched","227518","0.2538","ChargePoint","0","0",,"Operational"
"459934","Royal Farms - Tesla Supercharger","MD","Tesla","True","matched","124686","0.2235","ChargePoint","0","0",,
"460076","Casey's #3532 - Central City","KY","FCN","False","no_poi_within_1mi",,,,,,,
"460077","Subway - Salyersville","KY","FCN","False","no_poi_within_1mi",,,,,,,
"460132","West Friendship Center","MD","FCN","False","no_poi_within_1mi",,,,,,,
"460211","LOVE'S 238 - KY # 238 DC2","KY","ChargePoint Network","False","no_poi_within_1mi",,,,,,,
"460212","LOVE'S 238 - KY #238 DC1","KY","ChargePoint Network","False","no_poi_within_1mi",,,,,,,
"460333","FasCharge Site 4619 FastMarket Valero Albuquerque","NM","RED_E","False","nearest_poi_over_0.5mi","332815","0.6694","ChargePoint",,,,
"460412","LOVE'S 287 - TX #287 DC2","TX","ChargePoint Network","False","no_poi_within_1mi",,,,,,,
"460446","LOVE'S 287 - TX #287 DC1","TX","ChargePoint Network","False","no_poi_within_1mi",,,,,,,
"460721","Rudy's Country Store & BBQ - Tesla Supercharger","AZ","Tesla","False","nearest_poi_over_0.5mi","268730","0.8383","ChargePoint",,,,
"460932","LOVE'S 647 - KS #647 DC1","KS","ChargePoint Network","False","nearest_poi_over_0.5mi","348985","0.7759","Tesla (including non-tesla)",,,,
"460981","LOVE'S 647 - KS #647 DC2","KS","ChargePoint Network","False","nearest_poi_over_0.5mi","348985","0.7829","Tesla (including non-tesla)",,,,
"461070","Exxon Lovingston","VA","RED_E","False","no_poi_within_1mi",,,,,,,
"461139","EVolve NY Sunnyside Municipal","NY","Electrify America","True","matched","226878","0.4589","ChargePoint","0","0",,"Operational"
"461751","EVolve NY Dansville","NY","Electrify America","True","matched","282937","0.0466","Tesla (Tesla-only charging)","0","0",,"Operational"
"461753","Ideal Market #11 - Nortonville","KY","FCN","True","matched","282041","0.0052","Tesla (Tesla-only charging)","0","0",,"Operational"
"462295","PowerUp - Manchester","KY","POWERUP","False","no_poi_within_1mi",,,,,,,
"462330","NOONDAY MARKET NOONDAY 2","MI","ChargePoint Network","True","matched","495538","0.0086","ChargePoint","0","0",,"Operational"
"462336","NOONDAY MARKET NOONDAY1","MI","ChargePoint Network","True","matched","495538","0.0107","ChargePoint","0","0",,"Operational"
"462433","Walsenburg, CO","CO","RIVIAN_ADVENTURE","True","matched","140827","0.2614","ChargePoint","0","0",,"Operational"
"462590","RI OER NEWPORT DCFC3","RI","ChargePoint Network","True","matched","357259","0.3938","Shell Recharge Solutions (US)","0","0",,"Operational"
"462593","RI OER NEWPORT DCFC1","RI","ChargePoint Network","True","matched","357259","0.3616","Shell Recharge Solutions (US)","0","0",,"Operational"
"462671","Residence Inn - Milwaukee","WI","FCN","True","matched","230563","0.079","EV Connect","0","0",,"Operational"
"463493","Kwik Trip #166","MN","KWIK_CHARGE","True","matched","62476","0",,"0","0",,
"463494","Kwik Trip #429","MN","KWIK_CHARGE","False","no_poi_within_1mi",,,,,,,
"463495","Kwik Trip #1078","MN","KWIK_CHARGE","True","matched","372874","0.456","Tesla (Tesla-only charging)","0","0",,"Operational"
